
  model                                                         class recipe
  EleutherAI/gpt-neo-2.7B                                        none from-scratch
  EleutherAI/polyglot-ko-1.3b                                    none from-scratch
  HuggingFaceTB/SmolLM-1.7B                                    funnel from-scratch
  LiquidAI/LFM2-2.6B                                       fragmented unclear
  Qwen/Qwen1.5-1.8B                                            funnel from-scratch
  allenai/OLMo-2-0425-1B                                         none mid-trained/annealed
  bigcode/starcoder2-3b                                        funnel from-scratch
  bigscience/bloom-3b                                            none from-scratch
  google/gemma-2-2b                                        fragmented distilled
  kyutai/helium-1-preview-2b                                   funnel from-scratch
  llm-jp/llm-jp-3-1.8b                                         funnel from-scratch
  meta-llama/Llama-3.2-3B                                        none pruned+distilled
  sapienzanlp/Minerva-3B-base-v1.0                             funnel from-scratch
  stabilityai/stablelm-3b-4e1t                                   none from-scratch
  tiiuae/Falcon3-1B-Base                                   borderline annealed-decay
  EleutherAI/pythia-410m                                       funnel from-scratch
  EleutherAI/pythia-410m-deduped                               funnel from-scratch (deduped corpus)

  -> STABILITY: 17/17 models keep their class across two census seeds at 96 starts. The taxonomy is a stable property of each map at this resolution. DEDUP CONFOUND: pythia-410m and -deduped are the SAME class (funnel) -- corpus deduplication alone does not change the map's class, so the recipe correlate survives its cheapest confound. RECIPE ASSOCIATION (descriptive, documentation-derived labels, no test at this n): from-scratch/funnel: 8; from-scratch/none: 4; modified/borderline: 1; modified/fragmented: 1; modified/none: 2; other/fragmented: 1.

wrote results/argmax_census_hardened.json
